chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.38360003,1655.7458553348017,1645.9810252559635,3757.6072782628676,0.09644129136029411,-132.39743,159.00035,-44.60545,67.33323,-49.41705,21.34526,3.7335753,-10.2936125,19.448805,-5.5464673,14.203389,-3.0371165,8.521826,-0.2520634,-5.747285,-1.0551108,-6.339983,1.2777678,-8.670482,1.5654283,catAngry
0.3933941,1673.119933041462,1657.984784770783,3824.1907254071302,0.10149716659330986,-161.3998,154.71889,-42.259262,62.683422,-48.48888,20.10367,4.287324,-10.386328,19.428982,-4.0749226,13.316166,-2.9646773,8.110262,-0.014852766,-5.3751736,-1.2009261,-5.8555756,0.43931597,-7.8908553,1.9135467,catAngry
0.38031346,1735.981445879835,1749.7864095122477,3958.372730928309,0.09729721966911764,-121.87222,146.86443,-37.02187,63.910374,-51.0,27.956076,-6.5173526,1.2123598,8.118917,3.4434266,8.842845,-1.5651516,10.889495,-6.053704,2.5432289,-10.280062,2.5089428,-5.8789353,-4.0681443,0.04922817,catAngry
0.38359326,1646.1984430789578,1643.0589487281109,3753.6806353400734,0.09487017463235294,-132.70302,159.55591,-44.818817,67.07029,-49.386913,21.496162,3.5765786,-10.457747,19.454931,-5.574214,14.398996,-3.2154953,8.664565,-0.39390713,-5.640986,-1.0840086,-6.2823186,1.2169023,-8.64471,1.6257157,catAngry
0.37030435,1862.2965154904705,1854.8303741809098,4307.843951056985,0.11069623161764706,-153.3205,148.02231,-39.787186,59.90249,-56.496403,39.55999,-13.114443,5.7073355,12.407798,-2.4188876,12.896771,-6.591253,8.62442,-12.718276,0.6146785,-6.2022815,-2.4967027,-5.8202972,-2.9985528,-0.177573,catAngry
0.44876325,1818.8801492649065,1642.4453809594197,3942.6661592371324,0.11608168658088236,-132.75168,149.46077,-53.404137,60.475033,-51.646633,22.9903,8.351443,-9.647965,26.785337,-1.6701941,11.995255,-3.5270178,5.052119,1.9306232,-1.4325501,3.3281107,-3.9995768,4.880952,-5.33803,0.24477014,catAngry
0.4576998,1830.4746796010518,1657.7843138642738,4008.208626760563,0.11505556778169014,-163.40741,149.59045,-55.854908,59.12705,-51.67142,23.331306,7.535455,-10.625423,26.702324,-1.7014555,11.825675,-3.3175228,6.1953597,1.7147193,-1.6983804,2.6832693,-3.5006177,5.2122393,-5.1726346,0.7274079,catAngry
0.4461378,1893.038924927673,1742.8864995732151,4095.9318991268383,0.11447897518382352,-122.63201,136.9905,-45.94498,57.548836,-53.274563,29.988775,-2.2708983,2.1801739,15.196718,6.4409986,7.682455,-2.8731606,8.01485,-4.702527,7.002514,-5.381752,4.423211,-1.6155936,-1.6050528,-0.13818625,catAngry
0.44585732,1802.8767866073713,1638.0925379919315,3930.6328986672793,0.1133645450367647,-134.29044,150.13464,-53.217545,60.06846,-51.408722,23.378857,8.371449,-10.144959,26.519032,-1.767604,12.327883,-3.741761,4.9045596,1.6304464,-1.1474433,3.2437363,-3.7905238,4.8904834,-5.2688937,0.3210277,catAngry
0.4471146,2051.5111462086106,1841.0066315704437,4468.519646139706,0.13217198988970588,-151.35776,135.82144,-49.455906,51.86081,-55.87993,40.895985,-9.05754,7.7896714,20.979998,-4.3989167,10.311353,-6.871764,10.429044,-5.148188,4.9140186,-2.5795808,0.8620085,-0.27224785,-3.3094149,4.002593,catAngry
0.37071392,1973.7019237002976,1632.22714399957,3961.658417866492,0.12512782231675393,-133.23337,139.24174,-59.540905,59.480877,-52.459244,24.408863,5.8429275,-2.970765,28.014677,-11.450001,9.696408,-4.333659,7.4934235,2.387962,-2.325459,6.756475,-7.7270956,1.8251426,-9.110475,-0.94445425,catAngry
0.40170896,2047.8071699091481,1657.8120982065584,4088.193727889151,0.13963615369496854,-155.50592,131.60342,-58.01746,55.488796,-51.281948,22.36466,7.0824213,-3.1948285,28.274319,-10.209836,7.6032095,-3.5133114,8.042101,1.8713379,-2.7866557,6.9381685,-6.8332133,0.53347015,-8.456301,-0.78137535,catAngry
0.3723406,2057.3514204015987,1734.1503462351284,4170.958897455825,0.12659266606675393,-120.479385,125.5768,-52.548847,56.858803,-53.406967,29.801609,-3.5721593,8.198564,16.886723,-2.2477813,4.4114394,-3.6251388,11.049099,-4.2597795,5.9726243,-1.9422061,0.38569698,-4.7374563,-5.275949,-0.9154921,catAngry
0.37111276,1975.3516751350378,1639.0470707631553,3962.7294410585732,0.12521218504581152,-132.21815,138.12834,-58.54094,58.59835,-51.832123,24.07581,5.9124174,-2.838384,27.91187,-11.287651,9.458894,-4.114342,7.5224967,2.1947453,-2.0010197,6.401429,-7.280949,1.3207885,-8.699294,-1.1376193,catAngry
0.39192405,2258.816575692031,1844.1972135617611,4547.057146801374,0.15288827306937172,-149.56174,120.51111,-53.46875,50.84105,-54.508446,42.17513,-6.858918,14.181122,14.529784,-12.719953,12.1413355,-5.4776483,11.677508,-8.8888645,5.040985,-5.8167887,-5.0236983,0.78722906,-2.6137643,10.7640295,catAngry
0.30043352,1925.7299450004055,1586.380442584499,3906.073300201114,0.1225408673679868,-124.006165,151.5778,-72.07,61.761646,-52.51445,26.20582,-1.0970203,-9.010186,28.346376,-8.35918,10.928345,-4.1021385,11.197742,-0.29365596,-6.153654,3.9059036,-9.79289,2.9426064,-4.5677767,3.8533328,catAngry
0.31703374,1963.2019170671642,1601.7958289923472,3971.1311913290515,0.1287499228013834,-151.46458,147.59038,-73.11211,60.738792,-51.828312,26.27094,-0.44879246,-8.759685,28.170095,-7.8265705,10.807581,-3.5559204,11.698694,-0.8186919,-5.5916214,3.325189,-8.778385,2.0303648,-4.278488,3.691475,catAngry
0.29728103,2003.0102122301435,1677.5569913346255,4042.165986618193,0.12417008302392739,-112.127304,137.59038,-63.23858,58.16657,-54.032463,32.559452,-11.506436,3.5691128,15.701688,1.6551119,4.8262815,-2.504699,14.085452,-7.0773306,3.2178228,-6.490484,-0.11279116,-4.7553477,0.08393019,2.5992286,catAngry
0.30061418,1928.8851634102637,1587.5904102772474,3905.6469001392325,0.12301303372524752,-123.52254,151.14919,-71.653694,61.43635,-52.43184,26.150091,-1.1208584,-9.10406,28.292337,-8.447598,11.077782,-4.3123093,11.490861,-0.67592573,-5.7764034,3.5524206,-9.459744,2.5981486,-4.3234444,3.6424894,catAngry
0.30029845,2197.502061810798,1778.9668137335557,4434.2763768564355,0.14238796926567657,-140.80762,129.86522,-65.94051,53.496124,-55.192863,40.80895,-17.033918,12.397233,17.549534,-9.008456,12.768563,-3.6906838,10.707543,-14.769141,4.3675895,-5.257759,-1.432062,3.0972228,-1.1931854,5.9450054,catAngry
0.3414761,2921.7904268747347,2772.578724676664,6380.99025560462,0.13267875339673912,-456.15924,69.62472,17.915163,32.947803,-11.024934,29.8721,-8.902035,23.100012,-3.9222631,17.341549,-10.663192,15.709982,-5.5677786,15.123762,-2.330845,18.46666,-3.0933864,9.758426,-9.497017,3.768758,catAngry
0.3549124,2254.7383116384735,2205.2334194830614,5104.378509521484,0.11139678955078125,-521.96387,114.47015,-25.0796,68.83465,-39.691425,50.322437,-20.910963,24.135798,2.819296,3.6180322,8.727323,-7.34722,18.40592,-9.100433,19.859606,-0.84552383,12.143628,-1.6015142,-2.3793955,-0.55552477,catAngry
0.50507176,3402.277491113708,2220.0705255344005,6127.600628396739,0.2882663892663043,-352.2924,99.247246,-77.02895,83.460106,-61.989334,61.013424,-39.736294,34.471752,-13.452872,10.283366,4.852027,-6.9708567,18.96024,-14.331786,21.901785,-13.009967,17.682577,-8.718583,7.029266,-1.9815735,catAngry
0.3386055,2234.32015653874,2175.202989987245,5024.164402173913,0.11482039741847826,-491.90958,118.85419,-27.297232,72.05156,-42.09626,51.77934,-21.121841,25.769176,2.1634583,3.7710166,8.660453,-7.2963166,19.11404,-9.388017,20.405163,-1.2477617,12.798621,-1.9343133,-1.8040313,-0.38668492,catAngry
0.33977506,2203.919807243104,2195.0187639022706,5031.466966711957,0.11570142663043478,-524.3022,116.97597,-25.265982,65.98885,-36.68367,50.850647,-19.586628,27.446438,1.2209481,1.7674348,10.659961,-4.5364666,20.918026,-6.610471,21.31401,-7.202658,4.7073774,-5.278324,-2.2919714,5.4562345,catAngry
